,A3C_T_MAX,LEARNING_RATE,DISCOUNT_FACTOR,GRADIENT_CLIP,ENTROPY_TERM_STRENGTH,ADAM_EPS,REWARD_SCALE,WMG_MAX_MEMOS,WMG_MEMO_SIZE,WMG_NUM_LAYERS,WMG_NUM_ATTENTION_HEADS,WMG_ATTENTION_HEAD_SIZE,WMG_HIDDEN_SIZE,AC_HIDDEN_LAYER_SIZE,Original-SR,NAP-SR
22,2,-12.429216196844383,-0.0020020026706730793,5.545177444479562,-5.29811738654537,-4.605170185988091,4.1588830833596715,2,4.1588830833596715,2,20,2.4849066497880004,5.2574953720277815,8.658692753689937,0.8777,0.9919
23,12,-9.672375831572742,-0.5108256237659907,6.931471805599453,-4.6050701909877585,-23.025850929940457,4.852030263919617,1,6.579251212010101,2,10,5.545177444479562,4.852030263919617,7.272398392570047,0.9757,0.9914
24,64,-10.126631103850338,-0.10536051565782628,2.772588722239781,-2.995712273753988,-9.210340371976182,1.3862943611198906,10,4.1588830833596715,11,6,4.499809670330265,3.4657359027997265,8.317766166719343,0.9974,0.2681
25,3,-12.429216196844383,-0.01005033585350145,6.931471805599453,-6.21410822338054,-4.605170185988091,4.1588830833596715,4,6.238324625039508,5,3,3.871201010907891,2.0794415416798357,5.19295685089021,0.4059,0.3442
26,28,-10.596634733096073,-0.35667494393873245,5.545177444479562,-3.9119730066781044,-23.025850929940457,4.1588830833596715,1,6.931471805599453,9,6,5.545177444479562,2.0794415416798357,4.852030263919617,0.6588,0.9913
27,16,-11.974960924566787,-0.5108256237659907,6.238324625039508,-5.29811738654537,-13.815510557964274,1.3862943611198906,20,4.499809670330265,12,8,3.1780538303479458,5.2574953720277815,7.6246189861593985,0.8488,0.5647
28,16,-8.740336742730447,-0.01005033585350145,3.4657359027997265,-13.815510557964274,-4.605170185988091,2.772588722239781,6,3.4657359027997265,1,8,6.238324625039508,2.4849066497880004,7.6246189861593985,0.1583,0.9966
29,16,-11.512925464970229,-0.01005033585350145,6.238324625039508,-2.3025750930440454,-23.025850929940457,-1.3862943611198906,2,3.8066624897703196,12,3,4.852030263919617,1.791759469228055,8.658692753689937,0.4294,0.4358
30,28,-8.294049640102028,-0.005012541823544286,2.0794415416798357,-2.3025750930440454,-9.210340371976182,-1.3862943611198906,6,5.19295685089021,13,1,3.871201010907891,2.772588722239781,7.6246189861593985,0.3399,0.6529
31,12,-7.824046010856292,-0.5108256237659907,4.1588830833596715,-2.3025750930440454,-23.025850929940457,0.0,4,4.1588830833596715,13,3,4.1588830833596715,1.791759469228055,4.852030263919617,0.3841,0.5049
32,24,-9.672375831572742,-0.2231435513142097,3.4657359027997265,-5.29811738654537,-27.631021115928547,-0.6931471805599453,10,3.4657359027997265,8,4,3.1780538303479458,6.238324625039508,6.579251212010101,0.9946,0.9909
33,28,-10.596634733096073,-0.2231435513142097,2.772588722239781,-13.815510557964274,-27.631021115928547,0.6931471805599453,10,5.19295685089021,5,2,6.238324625039508,3.1780538303479458,5.886104031450156,0.9969,0.8567
34,64,-9.672375831572742,-0.005012541823544286,4.1588830833596715,-13.815510557964274,-4.605170185988091,1.3862943611198906,3,6.579251212010101,5,1,2.4849066497880004,4.852030263919617,6.238324625039508,0.528,0.2681
35,28,-10.126631103850338,-0.020202707317519466,6.931471805599453,-6.21410822338054,-18.420680743952367,4.852030263919617,4,4.852030263919617,1,10,2.0794415416798357,4.564348191467836,8.317766166719343,0.9703,0.991
36,96,-7.824046010856292,-0.2231435513142097,4.1588830833596715,-2.3025750930440454,-4.605170185988091,2.0794415416798357,20,5.19295685089021,11,2,5.886104031450156,3.1780538303479458,6.931471805599453,0.4794,0.9798
37,20,-7.824046010856292,-0.020202707317519466,4.1588830833596715,-2.3025750930440454,-27.631021115928547,1.3862943611198906,16,4.1588830833596715,4,10,5.545177444479562,3.871201010907891,7.6246189861593985,0.3442,0.3952
38,8,-8.294049640102028,-0.0020020026706730793,3.4657359027997265,-2.3025750930440454,-23.025850929940457,-1.3862943611198906,6,4.852030263919617,4,10,6.238324625039508,4.852030263919617,7.272398392570047,0.2986,0.3648
39,24,-9.210340371976182,-0.01005033585350145,5.545177444479562,-4.6050701909877585,-23.025850929940457,3.4657359027997265,3,6.931471805599453,2,6,4.852030263919617,5.2574953720277815,7.6246189861593985,0.9988,0.9943
40,24,-11.974960924566787,-0.2231435513142097,7.6246189861593985,-3.9119730066781044,-9.210340371976182,0.6931471805599453,3,3.4657359027997265,1,4,4.499809670330265,4.852030263919617,8.658692753689937,0.7404,0.9928
41,3,-9.210340371976182,-0.020202707317519466,7.6246189861593985,-4.6050701909877585,-27.631021115928547,2.772588722239781,12,5.545177444479562,4,3,5.545177444479562,5.545177444479562,4.1588830833596715,0.6565,0.9926
42,4,-9.672375831572742,-0.2231435513142097,2.0794415416798357,-1.6094329124466003,-4.605170185988091,4.1588830833596715,4,3.8066624897703196,8,3,6.238324625039508,4.1588830833596715,7.6246189861593985,0.3355,0.3484
43,64,-8.740336742730447,-0.0020020026706730793,4.1588830833596715,-1.6094329124466003,-23.025850929940457,4.1588830833596715,10,6.238324625039508,8,3,5.886104031450156,6.238324625039508,6.579251212010101,0.3526,0.3841
44,48,-10.596634733096073,-0.2231435513142097,7.6246189861593985,-3.9119730066781044,-23.025850929940457,3.4657359027997265,4,4.852030263919617,8,2,5.886104031450156,3.1780538303479458,5.19295685089021,0.9914,0.0
45,16,-10.126631103850338,-0.05129329438755058,6.238324625039508,-6.21410822338054,-9.210340371976182,0.0,4,5.545177444479562,12,3,5.886104031450156,2.772588722239781,4.499809670330265,0.6273,0.9943
46,40,-9.672375831572742,-0.05129329438755058,6.238324625039508,-1.6094329124466003,-18.420680743952367,-1.3862943611198906,4,5.545177444479562,7,20,5.886104031450156,1.791759469228055,8.658692753689937,0.0,0.0
47,120,-9.672375831572742,-0.01005033585350145,0.6931471805599453,-2.995712273753988,-13.815510557964274,2.772588722239781,10,6.238324625039508,12,16,6.238324625039508,4.852030263919617,5.19295685089021,0.0,0.0
48,56,-11.042921835724492,-0.10536051565782628,4.852030263919617,-1.6094329124466003,-4.605170185988091,2.772588722239781,8,6.931471805599453,11,10,5.886104031450156,2.4849066497880004,8.658692753689937,0.3355,0.0
49,48,-11.512925464970229,-0.0020020026706730793,6.238324625039508,-13.815510557964274,-18.420680743952367,4.852030263919617,20,6.931471805599453,1,2,5.545177444479562,3.871201010907891,4.852030263919617,0.3841,0.4195
50,48,-11.512925464970229,-0.6931471805599453,3.4657359027997265,-2.3025750930440454,-13.815510557964274,0.6931471805599453,12,5.19295685089021,6,10,3.4657359027997265,5.950642552587727,8.658692753689937,0.3727,0.5367
51,40,-10.596634733096073,-0.5108256237659907,5.545177444479562,-13.815510557964274,-27.631021115928547,4.1588830833596715,1,5.19295685089021,4,2,6.238324625039508,5.2574953720277815,4.1588830833596715,0.9904,0.9919
52,1,-11.042921835724492,-0.2231435513142097,0.6931471805599453,-5.29811738654537,-9.210340371976182,0.0,12,6.931471805599453,2,20,3.1780538303479458,4.1588830833596715,7.965545573129992,0.3916,0.9945
53,16,-10.126631103850338,-0.35667494393873245,6.931471805599453,-6.21410822338054,-9.210340371976182,1.3862943611198906,2,6.579251212010101,1,6,5.19295685089021,5.2574953720277815,6.238324625039508,0.994,0.9935
54,32,-11.042921835724492,-0.5108256237659907,6.931471805599453,-4.6050701909877585,-4.605170185988091,1.3862943611198906,20,7.6246189861593985,2,20,6.238324625039508,1.791759469228055,5.886104031450156,0.3176,0.2986
